diary,::,EV,::,TR,::,SR,::,CO,::,Comment,//
"602&<EV>Yesterday I went to my maternal grandfather's house.</EV> 
There, I met my grandmother, grandfather, aunt, uncle and some other people who also came. 
Out of everyone there, I was the youngest. So I didn't have things to play with, but my older cousin had a guitar and I played a song on it.

The next day, I got up in the morning and I played the guitar again.
Then I went to the buffet to celebrate my maternal grandfather's 80th birthday.
There I saw a kimchi, fruit jelly, abalone, ice cream, cereal, soup, buffalo wings, chicken skewers etc.
After we had an event to celebrate, we had lunch. 
<SR>I liked the buffalo wings because they were soft and tasted slightly spicy. Grandmother and Grandfather liked the buffet and <SR>I liked the buffet too.</SR>",::,3,::,4,::,1,::,2,::,"Clear explanation, lack of expression for the first part.",//
"603&<EV>Today I went on the Golden Bell stage with a white board and marker.</EV>
The Golden Bell is a reading comprehension contest after reading books that is held at the school every year.
This year there were three books chosen by the librarian for the Golden Bell contest. 
They were , ""Midnight in the Garden of Tom,"" ""Kim Gu Biography,"" and ""To Mudflats."" 
On the Golden Bell stage, I could see a lot of number cards and name tags.
The Golden Bell would start as soon as I put on my name tag. 
The total numbers of questions were 40. 
The librarian said you could have consolation match twice and that it would be difficult. 
I think most of challengers fell around the 17th question.
<TR>But</TR>, everyone came back again during the consolation match. 
<SR>I liked the books we had to read and I especially like ""Midnight in the Garden of Tom"" because the book was very fun and exciting.</SR>
<CO>I was impressed with the book and I could also see the traces of history while reading it.</CO>",::,3,::,4,::,2,::,2,::,Very organized and detail. Clear about what she or he wants to talk about. Nice expression of the writer's feeling.,//
"604&<EV>Today I worked out a lot.</EV>
I rode my Essboard and pogo stick, and then I did jump rope too. 

I went to learn swimming until last month.
During that time, I think I was getting enough exercise. <TR>But</TR> these days I need more exercise. 

Essboard has two wheels and pedals. The pogo stick looks like a normal stick <TR>but</TR> it has a spring to allow someone to jump up and down. 

These exercise equipments are helpful for my health. 
I rode the Essboard to go around my neighborhood two times, and then I jumped off the ground with the pogo stick three hundred times without a break. 

<SR>I think the Essboard and pogo stick are cool and made well.</SR> <CO>Next time I will try other kinds of boards too.

I want to jump up to the lower hill while riding the Essboard, and my next target is to jump on my pogo stick fifteen hundred times. </CO>",::,3,::,3,::,1,::,3,::,Need more writer's emotions. Nice and clear about the topic.,//
"605&<EV>Yesterday I bought new shoes. </EV>
These shoes are awesome and the color is so cool.
I wore my shoes and walked around the room for a while.
They were very soft and light.
My shoes are fluorescent and gray. 
<SR>I thanked my parents for getting them.</SR>
I could not tie my shoelaces before I bought my new shoes. 
After I bought the shoes, I figured out how to tie my shoelaces. 

I also bought a cap, a sharp pencil, a pencil case, and some other stuff. 
I like the pencil case. It has a lot of pockets. 
I dropped the pencil case by mistake, <TR>but</TR> it didn't make a loud noise. 
Today it was rainy and I thought my shoes would get wet, so I didn't wear them. Instead, I put on my slippers, and I came home. 
<CO>It was nice day.</CO>",::,3,::,4,::,1,::,3,::,Writer's emotions is well expressed. Clear and detail description about the new shoces. Nice conclution.,//
"606&<EV>Today I went to the Korea Science Creativity Festival 2012 with my family.</EV> The festival is being held at KINTEX. When I entered the exhibition room, there were tons of experience groups and institutions.
We got some pamphlets and started to visit the smart valley at first. In the smart valley, we found KERI, Korea Electro-technology Research Institute, and there was an electric shock device. I tried to test the device. <SR>It was very shocking to me.</SR> Next we went to the Solar Experience corner. I made a solar car here and it worked very well. And then I experienced other things. I wanted to watch more but I didn’t have enough time. <CO><SR>I wish I had enough time.</SR></CO>
But, we had to come home.",::,4,::,3,::,1,::,3,::,Well Organized. Clear and simple about the topic. Not poor but better to express more writer's emotions and use transition words.,//
"607&<EV>Today is the last day to write in the Little Fox English diary.</EV>
Tommorow I will get a free 1 year ticket.
That means we will have 12,000.
And I already gave my mother 18,000.
And I gave my mother 30,000.
And I gave my father 9,999.
<SR>Any way I was tired, happy, angry, and having fun writing this diary.</SR>
This diary helped me a lot with my English conversation.
I could tell everyone why I was happy or sad or angry or tired.
<SR>When I wrote in this English diary, I thought my heart was empty.</SR>
After writing, I would relax and read it.
<SR>Any way it was very helpful to me, and I really enjoyed writing this diary.</SR>
From the first day, to this day, I wote long things and short things.
<CO><SR>Writing has been good for me.</SR>
Because I wrote what happend on each day.</CO>",::,3,::,2,::,3,::,2,::,Poetic expression about the writer's heart. Well expression about the writer's feeling. Lack of trasition words.,//
"608&<EV>Yesterday I went to the Olympic stadium in Korea.</EV>
Three days ago my mother waited for three hours to get free tickets to play soccer with Chasi.
That day I came home very early from school with my friend named Park Jongwook. 
We arrived there at 12:30. We watched and learned about Chasi.
They asked us questions and our team won. 
We went outside on a stage and they asked us a very difficult question.
<TR>But</TR> I answered them all correctly and I got Chasi's soccer ball. 
And at home I already have two soccer balls.
After that we started a soccer clinic after eating dinner.
Whenever the U.K. coaches said something to us, the Korean teacher would translate the sentence for us. 
<TR>But</TR> I really didn't need them to do that.
We first did some drives, shooting, and then we did a Flip Flap move.
We also did some passing and heading.
After that we did a cross and goal keeper and more shooting.
<SR>And then we did the most fun thing.</SR>
It was a match.
Before the match we had some 2:2 matches and ran with the ball.
After that we had a match and I scored many goals.
We had four teams and we won against the 1st team.
<CO><SR>We got a medal and a bag.</SR>
I also got a sign and it was very fun.</CO>",::,3,::,3,::,1,::,3,::,Clear and detail about the topic. Well organized and expressions of the writer's feeling.,//
"609&<EV>Today I was writing in this diary and my diary entry was erased.</EV>
<SR>I was exhausted so I almost died. </SR>
<TR>But</TR> now I know how to get away from that situation.
It's like this.
My sister showed me how to do this so I do it and it really worked.",::,2,::,3,::,2,::,2,::,Need more detail and clear conclution,//
"610&<EV>Yesterday I went camping with my cousins.</EV>
And I went camping by the Pacific Ocean.
It was so far that we had to wake up at 3 am.
My cousin got up earlier than us, so he got there before us.
When we got there it was 6 am and we ate breakfast in our tent.
When my dad and my aunt were making a tent, my cousin and I went to 
the beach and we put our feet in the ocean.
While we were doing that, my sister and my cousins's sister were by the tent playing volleyball. When my cousin and I got back to the tent we all ate a delicious breakfast. <SR>It was only rice but it was still very delicious.</SR>
After breakfast we took a long break and I changed from my clothes into a swimming suit in the tent. 
Do you want to know how I did that? 
I went into my cousin's tent where there is a door. I hide behind the door and changed. 
And we took a break again, and then my cousin's sister, my sister, my cousin, and my uncle went to the beach with a little boat and two beach balls.
And we rode the boat and we played with the beach ball too.
When we went into the water, it was time for the low tide so we kept going into deeper and deeper water.
We were so deep that we felt like we were almost at the bottom of the sea.
Anyway, my uncle told us not to go any deeper. He says it in a way that we will always listen to him. 
<SR>At the beach I felt something painful in my body.</SR> <TR>But</TR> I didn't think it was a jellyfish.
So I didn't tell anyone and I kept playing. But three or four hours later, my cousin told my father that I was breathing very hard. So my dad and I went to the hospital near the 
ocean and the doctor said it was very bad and we came very late.
He said that the jellyfish poison was in my body and that I could die. We had to wait and see for one more week. After that we came back to the tent.
When my mother, father, uncle, sister, cousin, cousin's sister, and aunt all heard this, they took care of me very well.
And we ate dinner with delicious meat and I took a short walk with my sister, cousin, and cousin's sister named Hunji. 
And Hunji took a picture of us at the beach and we took her picture too.
<TR>But</TR> again I couldn't breath well so my cousin said that we had to go back to our tent.
So we came to our tent again and I sat down and talked with my cousin.
And we played a little game with the phone until the delicious sausages were being cooked.
And luckily, my uncle called us very quickly to eat the sausages, which were delicious. 
And when we are eating the sausages, my sister, mother, and aunt went to a famliy mart and bought two bottles of rum, three ice-creams, and four bottles of soda. After we ate everything, I was too tired that I went to the tent and slept.
<SR>When I woke up it was morning and I was very surprised.</SR> I took a morning walk
with my father and I watched the bugs. After I came back to the tent with my father, I saw that my cousin, uncle, Hunji, and aunt were already up and making breakfast. It was also very delicious. After eating breakfast, I did yo-yo with my cousin
and we played other games. Then we packed our things and came home. 
But anyway, a few minutes later my cousin and I met again at my second aunt's house.
<CO>This was my story about my camping trip. Bye! </CO>",::,4,::,3,::,2,::,3,::,Clear and exciting about the topic. Lots of repeatition. The conlusion part seems like end suddenly.,//
"611&<EV>Camping, camping, I will go camping. </EV>

<SR>It's fun! It's good and I want to go camping.</SR>
I will go camping. I will go camping tommorow.



With who?
With cousins, cousins, and cousins. 
I will go camping with cousins.",::,3,::,4,::,1,::,2,::,Need more detail about the topic. It seems that there is no conclusion and lots of repeatition. Need more writer's emotions.,//
"612&<EV>Today is the beginning of the London Olympic games. </EV>
And we have to win a lot during this Olympics. 
To the Chinese girls who do Little Fox, listen carefully, we will win the gold medal in swimming. 
Our Korean Park TaeHwan will beat your Chinese Sun Yang. He is fast, <TR>but</TR> Park TaeHwan is faster. 
Anyway, there are too many people who are fast. 
Sun Yang is fast and Michael Phelps is fast too.
<TR>But I believe in Park TaeHwan.</TR>
He is the best.
Our Korean soccer players are the best too.
Korea may not be the best in archery or other sporting events, <TR>but</TR> the Korean strategy is the best.
<CO>London Olympics, here we come!</CO>",::,3,::,4,::,1,::,4,::,No writer's feeling. Clear about what the writer wants to talk about.,//
"613&<EV>You see it's been two days since school ended, and now it's summer vacation.</EV>
<SR>And I love it.</SR>
<TR>But</TR> it seemed like every school in the world played even before my summer vacation started.
And I will read a lot of books during my summer vacation.
I will read 90000 books.
And I will go to my cousin's house.
And I will do a mountain of stuff this summer.
Oh, I have to make my summer plan now.
<CO>BYE!</CO>

",::,2,::,3,::,1,::,3,::,The writer's feeling is obious. Event is clear enough. Better to use more transition words.,//
"614&<EV>Most places only have animals.</EV> <TR>But</TR> in Berk, there are dragons. 
There was a boy named Hiccup and he was the son
of Stoick.
Stoick was the chief of the Berk. He was very fat and strong, <TR>but</TR> Hiccup was not like that.
He was very weak and very thin. He also couldn't kill a dragon.
And one day he caught a Night Fury dragon, which is the strongest type of dragon.
Hiccup trained the dragon and they became friends. <SR>I though the dragon was very cute.
I want to have a dragon like that.</SR>
His name is Toothless.
Hiccup named him.
Oh, his real name is Night Fury but Hiccup named him Toothless.
And Toothless found a dragon's nest where there was a very big dragon.
<TR>But</TR> Hiccup's dragon Toothless killed the very big dragon.
<CO>And they lived happliy ever after.</CO>",::,3,::,3,::,1,::,3,::,Detailed about the event. Better to express more self emotions. Need more strong conclusion.,//
"615&<EV>You see I got a very bad score on my math test, so I decided to change my math
academy.</EV> So I am studying at the School Plus math academy.
School Plus math academy is in a building that is in front of my school. So my academy is very close to the school. <SR>Anyway I think School Plus math academy is very good at teaching.</SR> At the New Study math academy, we had class, a lot of homework, and the teacher always punished us when we didn't do our homework. We would have to stay there at least 5 to 6 hours a day, <TR>but</TR> the teacher would always push us to everything very quickly. It really did not help me. <SR>So I changed to School Plus academy, and now it is very fun to study math. I want to study math all day!</SR> 
Do you know why? It's because at School Plus academy, you can go to whatever class you want. And we always study with both older and younger students. <SR>Most of all it is fun</SR>. And our teachers don't force us to do everything so quickly, which is a lot better. 
So yesterday my homework was to study only 20 questions but I did it all.
I usually try to do one book per day. And the teacher will say encouraging words to me.
I don't know why <TR>but</TR> I like math now.
So today my teacher said that I need to rest.
Anyway after I started going to School Plus math academy I got a good score on our math test 
today. It was 90. And you see my friend, Park WonKie, is very smart and always gets a good score on math tests, <TR>but</TR> I got a better score than him on today's math test.
<SR>I was so happy today.</SR> I want to keep going to School Plus academy now.
So today I said to my mom that I didn't want to go home because I wanted to study more math.
<CO>Anyway I hope you like math as much as I do now.
BYE BYE</CO>",::,3,::,4,::,1,::,3,::,Entry is solid. Great conclusion and detailed explanation about the topic. Expression is good enough.,//
"616&<EV>Today I took a math test at school.</EV>
<SR>And it was a very hard math test.</SR>
So I got a very bad score.
<TR>But</TR> anyway some people might think that it is a very good score too.
I have to study more for the next math test.
I am going to be at an academy for all of my life if I have to go 16 of them.
You see, in Korea we have to go to many academies.
But I like to go to the academy.
<CO>I want to go to the academy now.
I changed my academy and <SR>I think it's very fun.</SR></CO>",::,3,::,3,::,1,::,2,::,Entry is solid. Clear with the topic. Need more smooth transition.,//
"617&<EV>Today I went to the Codai restaurant.</EV>
You know it's a very popular restaurant.
And it was also expensive.
It costs 110,000 won.
<TR>But</TR> everything was delicious.
So our family ate so much that we almost couldn't breathe.
<TR>But</TR> not me.
My mother ordered me to get the juice, iced coffee, and also the fruit and ice cream.
I am 12years old and I'm only 29kg.
Anyway I was full too.
<SR>It was very cool in the restaurant so I liked it a lot.</SR>
<CO>But we had to go home so we left the restaurant to go home.</CO>",::,4,::,3,::,1,::,3,::,Event is solid. Simple and clear expression. Need more strong conclusion.,//
"618&<EV>Today was a great day.</EV>
<SR>I have to thank my dad because he bought me a new soccer ball today.</SR>
The soccer ball was expensive. It was 20,000 won.
And I also got a new expensive glove, hard ball, and a very hard ball.
It all cost 100,000 won!
So I want to thank my dad now.
Today I played baseball with my father.
So my hard ball got dirty.
<CO>Bye-bye!</CO>",::,3,::,3,::,1,::,2,::,Event is good enough. The conclusion is poor.,//
"619&<EV>Today I read a story about Christmas.</EV>
There was Scrooge who was a very bad and cold hearted
person.
<TR>But</TR> he met his friend Marley and three ghosts that
came to him.
They were the ghost of Christmas past, the ghost of Christmas present, and the ghost of Christmas future. 
He learned a great lesson from them and he became a warm hearted
and very kind man.
<CO>He started to help other people after the visit from his friend and the three ghosts. </CO>",::,4,::,4,::,1,::,3,::,No writer's feeling. Good explanation about the story.,//
"620&<EV>Today I played with my friend.</EV>
First I only played with Eseongwoo.
And he bought me noodles and an ice cream.
Now I will tell you about my exciting adventure today.
My friend and I were on the swings.
And I fell head first to the ground.

I was relieved because the ground was a little soft.
<TR><SR>But</TR> it was still not that soft and I was crying from the pain when my friend and this other kid came to me. </SR>
And when I recovered from the pain, I showed him my knife.
You see I have a my MacGyver knife.
And he obeyed me at once.
So they formed part of the army and I was the king.
And I made other kids obey me too.
And now I have 100 people who obey me.

And today I found big, weird writing on a tree.

Oh it's in Korean, but don't worry. I will still tell you what it says. 
It says this on the tree: 모두들 박지용의 말을 들어야 할것이다.
아니면 이 나무의 영혼 의 손결 에 너희의 손이 다으면 너희들의 손은 타 들어갈것이다.

It translates into: Everyone must listen to Park JiYoung. <TR>Otherwise</TR> this tree's spirit will destroy you. 

<CO>Suddenly everyone obeyed me to follow what it said on the tree.
<TR>But</TR> it was already late so it was time for me to go home.</CO>",::,3,::,2,::,3,::,3,::,Entry and Event is solid. Well organized and exciting. It is better to write only english not KOREAN. Nice conclusion,//
"621&<EV>Today I went to the flower fair party at Seoul Land.</EV>I had a very amazing day today.
Today I got up at 5:00 in the mornig but my mother told me to sleep more. <TR>So</TR> I slept until I got up a few hours later at 9:00 in the morning. When I got up from my bed my mother was very busy making food and preparing all the other stuff that we would need at the flower fair. <TR>So</TR> we went there and we waited for a long time to ride on the elephant train. We rode on that to go to the flower fair. At the gate of the flower fair central park we had to wait a long time before we could go inside. We first put up our tent, then my sister and I went to the river to play. 


There were many rocks in the river so when I went in there without shoes, I almost died from the pain.
<TR>So</TR> I put my shoes on and went back into the river and it was fine.
<TR>So</TR> my sister and I played there for a while. 
<TR>And</TR> I have something awesome to tell you about.


At the lake my sister and I dug a very deep and long hole like a trunk. We found a lot of very little diamonds. 
<TR>But</TR> we soon lost them all because I forgot where I put them.
<TR>Anyway</TR> I lost them when my mother and my sister went to the bathroom.


<TR>Anyway</TR> my sister and I went to the little zoo next. I saw rabbits, monkeys, a donkey, a pig, a goat, and a lamb.
I saw that almost all the people there for the animals.
We had to buy them of course and cost 100 won. <TR>But</TR> I found money that someone had dropped so I used that to buy animal feed. My sister stole some animal feed and monkey food, which we fed to the animals. 

We also saw some person steal four of them.
<TR>Anyway</TR> we gave all of it to the animals we saw.
One of the monkeys suddenly tried to bite me at his cage.
<TR>But</TR> the other monkeys were cute.
The Japanese monkeys were very big.
<TR>But</TR> the other monkeys were no longer and bigger than my finger.


<TR>Anyway</TR> after taking a look inside the zoom, our family played a board game called Make a Rich Man. 
My father won the game when we played. 
<TR>And</TR> I turned around to look at the flowers while we were playing that board game.
<TR>And</TR> I saw a woman. She was wearing white clothes and her hair was very long. I thought
she was a ghost. <TR>So</TR> I told my family. My father was not scared but my mother was
thinking the same thing as me.


When we got home, the ghost-like woman followed us. Then she stopped and was watching us. I don't think other people can see that woman except for our family. We were all scared except for my father.


Anyway I want to come back here next year too. Bye-bye.",::,4,::,3,::,3,::,3,::,Some of the story was confusing mainly due to grammar issues that came up now and then.,//
"622&<EV>Today I went to the Jeon Deng Sa temple with my mother and her friend</EV>.
My mother's friend's English teacher, Matthew, also came with us. 
You see my mother and her friends are not very good at English. Many older Korean women are not that good English. <TR>So</TR> I spoke the best English out of our group.
<TR>So</TR> we rode the bus number 3100 to go to the temple. It took us an hour and a half to arrive. We went deep into the mountain where we ate our lunch like a picnic. <TR>And</TR> after lunch my mother and her friend told me to tell Matthew about the temple. <TR>So</TR> I told him about the temple and its history. <TR>And</TR> after we came back Matthew said to my mother that I am very good at English and that I seemed like an American. I was happy and I was very proud of myself.",::,3,::,3,::,3,::,3,::,Some grammar issues but otherwise it was fine.,//
"623&<EV>Today I watched Avengers</EV>.
It was very fun.
<TR>And</TR> I saw a lot of characters from different movies. 
There was Nick Fury, Hawkeye, the Hulk, the Black Widow, Iron Man, Thor, and Thor's brother Loki. 
Thor was one of the good guys, but his brother, Loki, was bad. They had to fight each other. 
Captain America was also in the movie. 
<TR>At first</TR>, Nick Fury met with Hawkeye. But Loki made Hawkeye evil. <TR>So</TR> Nick Fury called Iron Man, Hulk, the Black Widow, Captain America, and Thor. <TR>At the end</TR>, Hawkeye became good again and helped the other fight the army called Chitauri. Iron Man got a big dynamite and threw it into space which destroyed the other army. The Avengers won the battle.",::,4,::,3,::,1,::,3,::,Not much of a conclusion but otherwise it was fine.,//
"624&<EV>Today I read a book about Geronimo Stilton</EV>.
It was very funny. It is a 456-page book.
<TR>And</TR> it was very fun to read.
I will tell you the whole story about Geronimo Stilton.
The title is ""Geronimo Stilton Finds the Lost Spring."" 
Now I will give a summary of the story.
It was a nice spring day in Geronimo Stilton's city. Geronimo loved the weather so he decided to have a party. 
Everyone ate pizza at the party. After the party he was too tired to wash the dishes so he put all the plates on his desk.
<TR>But</TR> he couldn't fall asleep because he ate too much.
<TR>So</TR> he rolled around in his bed. He fell off his bed and hit the desk with all the dishes. Many of the dishes fell onto the floor and crashed into tiny pieces. 
Geronimo stepped on the sharp pieces and got hurt so he went to the bathroom to get a bandage.
<TR>But</TR> he slipped and crashed onto the bathroom floor.
<TR>But</TR> suddenly it got black and a voice said, ""Geronimo, you brave knight, please help us and save the princess.""
Geronimo knew the voice belonged to the frog and rainbow dragon.
He met them during his first fantasy adventure when he rescued the princess.
<TR>But</TR> the fantasy rainbow dragon said that princess was kidnapped again.
He said that during a meeting in the elves' country everyone decided that Geronimo would need to rescue the princess.
<TR>So</TR> Geronimo went there with the giant, cat boots, talking ship, white deer, silver dragon, and the princess of the elves. They all went to Geronimo to rescue the princess. 
They would have to pass though the nightmare country. <TR>First</TR>, the giant scratched his feet and said, ""I can't go with you anymore. I will slow everyone else down."" 
<TR>So</TR> the giant stayed behind and everyone else went to go rescue the princess. They had to cross the
river and that cat said he couldn't pass the river so he stayed there. The princess of the elves stayed to fight against a monster. The white deer was hurt at the spiky tree so he had to stay there. Only Geronimo was left to go to the 
nightmare country. There was a very big mountain. He climbed it and saw an army made with rock. He hid but a few minutes later, the grand high witch who was the leader of the nightmare country, found Geronimo. Geronimo fought with her and the witch ran away with her dragon but Geronimo chased her with the rainbow dragon.
He dropped her to the ground from the high sky.
After Geronimo defeated the witch, he rescued the princess. 
He went back to the elves' country. His other friends also made it back safely. 
<CO><TR>Finally</TR> Geronimo went back to his home and he lived happily ever after<CO>.

",::,4,::,3,::,1,::,3,::,"The story was a little confusing, but that could be because I am just not familiar with the source material. But it did seem a bit disorganized.",//
"625&<TR>You see this is not a ghost story, but a real ghost mystery</TR>. 
It happened one year ago after I came home from my math academy. 
Our house was all empty and I thought my parents had gone to the market and my sister went to play with her friend.
I wanted to call my mother so I went inside the house
to call my mother.
<TR>But</TR> when I turned around to call my mother there was a ghost behind me.
The ghost was a woman and she had white skin and she was drooling blood. 
I was so scared that I kicked her and ran out the front door. I went to my friend's 
house. <TR>And</TR> when my friend and I came outside to look at my apartment window, there was a ghost looking at us. She was saying ""I will kill you.""
She was holding a knife in her hand ready to kill us.
We were so scared that I called my mother and told her not to go inside our house. My parents, my sister, my friend, my friend's mom, and I all went inside our house together. <TR>But</TR> there was no ghost, only blood. 
The next day we turned on the radio to relax and heard a laughing sound on the radio
and we all got scared.
<TR>Suddenly</TR> we heard a voice saying, ""I will kill you... I will kill you...""
<TR>But</TR> we didn't get killed. It was March when all of this happened. My grandmother had gone to Buddha to talk about our family. The Buddha told her that bad things will happen to her family in March. It said that bad things will continue to happen to her family unless they move to another house. It was March when we turned on the radio and the ghost said, ""I will kill you, I will kill you, I will kill you...""
You probably think this is just a story.
<TR>But</TR> this is not a made-up story. This is real. And you have to be careful.
If I didn't go to my friends house and if I didn't kick that ghost...
I would be dead by now...
<TR>But</TR> don't be scared if it seems like I am talking like a ghost because I'm not a ghost. I am alive and a 
normal person who had a strange mystery happen to my family...
<TR>Anyway</TR> I'm getting scared too while writing about this because it makes me remember the scary mystery that seems impossible to solve. 
I kept getting scared that the ghost will kill my family. 
I went to Europe and our plane didn't crash!
<TR>But</TR> I have to tell you that before we left for Europe, we were almost killed because we tripped at the top of the stairs. 
I will tell you about more ghost stuff tomorrow.",::,3,::,4,::,4,::,4,::,The stuff towards the end about the trip to Europe seemed out of place.,//
"626&<EV>Today I watched a DVD about Jack and Cody.</EV>
The DVD was on the New York Times bestseller list. 
I didn't know even there was a DVD about Jack and Cody.
<TR>But</TR> my mother told me to watch Jack and Cody,
and I thought the DVD was fun when I watched it.
<EV>Today I watched Jack and their hotel family help Cody cook food for an important cowboy.</EV> 
<TR>First</TR> there was a famous chef. I can't remember his name but he was a famous chef who worked at the hotel.
When he heard someone say that he is not good at cooking, he became very angry and left the hotel with his workers. 
The hotel did not have a chef to cook.
<TR>But</TR> Cody who was taught by the chef could cook well too.
<TR>So</TR> he cooked food with his 
hotel family and friends and they succeeded.
<TR>And</TR> when they give the food
to the cowboy he loved it.
A few days later, the chef came back with his workers. He tried giving his food to a dog but the dog wouldn't eat it.
<TR>So</TR> he got angry again.
He threw down his hat left the hotel again!",::,4,::,4,::,1,::,2,::,A lot grammar which made the story difficult to follow.,//
"627&Hello, you already know that I went to Europe a few days ago.
I will go to United States next. <TR>But</TR> I am not going there to travel.
I'm going there to live for the next 10 years.
I'm 12-years old now, so if I stay there for 10 years I will be able to go to a university there.
<TR>And</TR> I will have lived there for 10 years.
Do you know why?
<TR>Because</TR> a few days ago I went to Europe.
When I was in Europe I thought that there were many more things to learn abroad, and I couldn't live in a little country like Korea. 
I want to live and study in a bigger country so that I can learn more English and U.S. history.
I also have a friend from the U.S. I want to meet him, and study with him at schools in the U.S.
<TR>So</TR> I really want to go to the U.S. <TR>But</TR> we don't have enough money to go.
Oh! Of course we have some money but we can't live there for 10 years.
<TR>But</TR> my father said he will give us enough money.
My father and my mother said that they have to think about it.
I would go to the U.S.with my mother.
<TR>At first</TR>, we were planning on taking my sister.
<TR>But</TR> my sister is not good at English and she said she doesn't want to go. <TR>So</TR> she will not be coming with us to the U.S.
The problem is that my sister always needs my mother and can't study alone without my mother. 
I have a lot of thing to think about.
My grandmother doesn't want to let me go to the U.S. because she thinks I am going alone.
<TR>And</TR> even if I go with my mother she will still disagree because she wouldn't want my father to be alone at home.
My mother and my father said that we have a lot of things to think about. Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh~I am sighing now.",::,3,::,3,::,2,::,4,::,Sometimes the entry became repetitive. Better organization of the ideas to combine the common ideas would have helped.,//
"628&<EV>Today I went to Europe.</EV> We arrived at Incheon airport by 7:00 a.m. 
We met our guide on the 3rd floor.
<TR>And</TR> we waited for 1 hour before we rode an airplane called A380.
The A380 is the world's biggest airplane. 
The A380 has two floor and is also called the Sky Hotel. 
<TR>Anyway</TR> we were on the A380 for about 12 hours, almost a whole day, and we soon arrived in Europe. 
We went to five countries: France, Switzerland, Italy, Austria, and Germany. 
<TR>First</TR> we went to Paris, France. It was very beautiful. 
We saw the Eiffel Tower. We took pictures and also saw the Arc de Triomphe.
<TR>After</TR> sightseeing we rode a bus and we went to our hotel.
There were four families, and we were the only ones who had two rooms. 
I slept with my father, and because of the time difference between Korea and France, I was very sleepy. 
I went to sleep right away but I had to wake up at 6:00.
<TR>So</TR> we went to climb the Eiffel Tower. 
I waited an hour to climb the Eiffel Tower.
At the top of the Eiffel Tower, we could see the whole city of Paris. 
It was beautiful. It was very cold at the top of the Eiffel Tower, so we went inside a store. It was much warmer inside there. 
I wanted to buy souvenirs at the store there, but it was expensive. <TR>So</TR> my father said that he would buy it for me. I will tell you the last story tomorrow. 
BYE-BYE**
^^
&&&&&",::,3,::,3,::,2,::,3,::,"I'm a little confused about the chronology. ""Today I went to Europe"" sounds like this very day you left to go to Europe. But then you talk about Incheon airport which is in Korea. You also mention France, Switzerland, Italy, Austria, and Germany, which of course couldn't have happened in one day. So it was confusing, some references to exactly when each of these events took place would have helped.",//
"629&<EV>Tomorrow I am going to Europe!</EV> I always wanted to go to Europe, and now we're going to Europe tomorrow. I am very excited. <TR>But</TR> I caught a cold so I had to get a shot today. <TR>And</TR> I still feel very weak. Yesterday, before I caught my cold, I was very strong. My sister got the cold first, and then my mother and I got the cold too. <TR>So</TR> I had a fever and started to feel unwell. 
My mother and my sister were very tired. <TR>Since</TR> I had a fever, I didn't have to go to my math academy. It was nice that I didn't go to my math academy. Haaaaaa! So we packed our bags for tomorrow and I rolled around the bed and now I'm writing this diary entr.My mother says that I have to sleep early because if I sleep late my cold will get worse.
<TR>So</TR> I have to sleep now.
BYE-BYE",::,3,::,3,::,4,::,3,::,"Some grammar issues, and lack of transitions made it difficult to follow sometimes.",//
"630&Hello. I am Jiyong.<EV>Yesterday in Little Fox I learned about
the Louvre, one of the biggest art museums in the whole world.</EV>
The Louvre is in France. There are 8.5 million people from all over the world who visit the Louvre each year. 
Now that's what I call a lot of visitors.
The Louvre is located in the heart of Paris, on the right bank of the Seine River. 
It's home to around 35,000 pieces of art and nearly 13 kilometers of 
galleries.That means it wouid take almost a year for a visitor to see everything
inside the museum!
When the louvre was first built,way back in 1190,it was designed to be a
fortress to protect paris from its enemies.At the time paris was largest city in
Europe,and over the next two hundred years,the city continued to grow.
Eventually the louvre wasn't big enough to protect the entire city.so,in 1364,
king charles v decided to turn it into a palace.
During the centuries that followed,members of the french royalty continued
changing the louvre,demolishing some sections and adding new buildings and 
wings,along with gardens and fancy decorations.French monarchs also collected
artwork, filling the louvre with colorful tapestries,elaborate carvings,and all
kinds of incredible paintings.Eventually the royal court decided to move to a new
place,abandoning the louvre for a while.finally,in 1793,goverment officials 
decided to turn the buildings into a museum for the public.
Today the louvre has three main wings.They're arranged like a giant
horseshou,and in the courtyard in the middle of the wings is a big glass pyrmid.
Inside the louvre,visitors can wee art from many different time periods.Ther's a
helmet worn by a real roman gladiator;Egyptian statues over 4000years old;
and a sword used at the coronations of french kings.Most people
visting the louvre stop to seethe most famous painting tn the world-the mona lisa.
I will talk about mona-lisa next time.
BYE-BYE",::,4,::,4,::,1,::,3,::,Some grammar issues but otherwise it was fine.,//
